id	sounds_id	seq	section_name	lyric	occurrence	lyric_col	col_space	is_active
1892	1	1	1番のイントロ	It's time to live my life 雨音	{1}			t
1893	1	2	1番のイントロ	It's time to live my life ため息	{1}			t
1894	1	3	1番のAメロ	"Baby I loved, Baby I loved
儚くって"		1	NULL	t
1895	1	4	1番のAメロ	あれほど信じた日々の終点		2	NULL	t
1896	1	5	1番のAメロ	水たまりの街 反射するメモリー				t
1897	1	6	1番のAメロ	やけに、綺麗、憎い。				t
1898	1	7	1番のAメロ	"Baby I loved, Baby I loved
わがままって"				t
1899	1	8	1番のAメロ	恋から愛への証拠だった				t
1900	1	9	1番のAメロ	解釈違いの　ロマンス手を振って				t
1901	1	10	1番のAメロ	それじゃ、私、行くね。				t
1902	1	11	1番のサビ	"湾岸ルーレット　ハイウェイ
乗り込んだら　もうどこへだって行けそう"	{1,1}			t
1903	1	12	1番のサビ	夜が明ける頃は　違う私で	{1}			t
1904	1	13	1番のサビ	"そうよ悲しまないで　顔を上げて
そんなに惨めじゃないでしょ？"	{1,1}			t
1905	1	14	1番のサビ	すこし すこしずつ変われるチャンス	{1}			t
1906	1	15	2番の間奏	It's time to live my life. 雨音	{2}			t
1907	1	16	2番の間奏	It's time to live my life ため息	{2}			t
1908	1	17	2番のAメロ	"Baby I loved, Baby I loved
猫かぶって"				t
1909	1	18	2番のAメロ	合わせて笑うの疲れちゃった				t
1910	1	19	2番のAメロ	"今更　泣きついたって
無駄よ　許してあげない"				t
1911	1	20	2番のAメロ	きっと　きっと　きっとよ				t
1912	1	21	2番のサビ	"湾岸ルーレット　ハイウェイ
乗り込んだら　もうどこへだって行けそう"	{2,2}			t
1913	1	22	2番のサビ	夜が明ける頃は　違う私で	{2}			t
1914	1	23	2番のサビ	"そうよ悲しまないで　顔を上げて
そんなに惨めじゃないでしょ？"	{2,2}			t
1915	1	24	2番のサビ	すこし　すこしずつ変われるチャンス	{2}			t
1916	1	25	3番のサビ	"湾岸ルーレット　ハイウェイ
涙にそっと　都会のネオンを映す"	{3,NULL}			t
1917	1	26	3番のサビ	きらり　まとい　素敵　大人になれる				t
1918	1	27	3番のサビ	そうよ　悲しまないで感じるでしょ　予感				t
1919	1	28	3番のサビ	今が				t
1920	1	29	3番のサビ	ここが				t
1921	1	30	3番のサビ	彼が				t
1922	1	31	3番のサビ	雨の				t
1923	1	32	3番のサビ	夜が				t
1924	1	33	3番のサビ	すこし　すこしずつ変われるチャンス	{3}			t
